KLEE: WARNING ONCE: function "vasnprintf" has inline asm
KLEE: WARNING: undefined reference to function: __ctype_get_mb_cur_max
KLEE: WARNING: undefined reference to function: fchownat
KLEE: WARNING: undefined reference to function: fdopendir
KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 93952530382144) at /home/strahinja/repo/klee/runtime/POSIX/fd.c:1007 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "calloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "realloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling external: vprintf(93952530406144, 93952539034496) at libc/stdio/fprintf.c:35 14
KLEE: WARNING ONCE: calling close_stdout with extra arguments.
KLEE: WARNING ONCE: calling external: __ctype_get_mb_cur_max() at ../../lib/quotearg.c:212 36
KLEE: WARNING ONCE: calling external: fchownat(4294967196, 93952527558656, 4294967295, 4294967295, 0) at ../../lib/openat.h:107 3
KLEE: WARNING ONCE: calling external: printf(93952521896944, 93952531394432, 93952531394432) at ../../src/chown.c:97 7
KLEE: WARNING: killing 4778 states (over memory cap)
KLEE: WARNING: killing 4719 states (over memory cap)
KLEE: WARNING: killing 4683 states (over memory cap)
KLEE: WARNING: killing 4643 states (over memory cap)
KLEE: WARNING: killing 4610 states (over memory cap)
KLEE: WARNING: killing 4578 states (over memory cap)
KLEE: WARNING: killing 4536 states (over memory cap)
KLEE: WARNING: killing 4505 states (over memory cap)
KLEE: WARNING: killing 4475 states (over memory cap)
KLEE: WARNING: killing 4443 states (over memory cap)
KLEE: WARNING: killing 4415 states (over memory cap)
KLEE: WARNING: killing 4382 states (over memory cap)
KLEE: WARNING: killing 4335 states (over memory cap)
KLEE: WARNING ONCE: calling external: fdopendir(3) at ../../lib/fts.c:263 8
KLEE: WARNING: killing 4303 states (over memory cap)
KLEE: WARNING: killing 4275 states (over memory cap)
KLEE: WARNING: killing 4245 states (over memory cap)
KLEE: WARNING: killing 4200 states (over memory cap)
KLEE: WARNING: killing 4165 states (over memory cap)
KLEE: WARNING: killing 4126 states (over memory cap)
KLEE: WARNING: killing 4093 states (over memory cap)
KLEE: WARNING: killing 4053 states (over memory cap)
KLEE: WARNING: killing 4018 states (over memory cap)
KLEE: WARNING: killing 3973 states (over memory cap)
KLEE: WARNING: killing 3944 states (over memory cap)
KLEE: WARNING: killing 3910 states (over memory cap)
KLEE: WARNING: killing 3867 states (over memory cap)
KLEE: WARNING: killing 3839 states (over memory cap)
KLEE: WARNING: killing 3797 states (over memory cap)
KLEE: WARNING: killing 3772 states (over memory cap)
KLEE: WARNING: killing 3742 states (over memory cap)
KLEE: WARNING: killing 3715 states (over memory cap)
KLEE: WARNING: killing 3667 states (over memory cap)
KLEE: WARNING: killing 3618 states (over memory cap)
KLEE: WARNING: killing 3587 states (over memory cap)
KLEE: WARNING: killing 3585 states (over memory cap)
KLEE: WARNING: killing 3514 states (over memory cap)
KLEE: WARNING: killing 3481 states (over memory cap)
KLEE: WARNING: killing 3426 states (over memory cap)
KLEE: WARNING: killing 3385 states (over memory cap)
KLEE: WARNING: killing 3338 states (over memory cap)
KLEE: WARNING: killing 3301 states (over memory cap)
KLEE: WARNING: killing 3300 states (over memory cap)
KLEE: WARNING: killing 3222 states (over memory cap)
KLEE: WARNING: killing 3179 states (over memory cap)
KLEE: WARNING: killing 3131 states (over memory cap)
KLEE: WARNING: killing 3093 states (over memory cap)
KLEE: WARNING: killing 3064 states (over memory cap)
KLEE: WARNING: killing 3047 states (over memory cap)
KLEE: WARNING: killing 3020 states (over memory cap)
KLEE: WARNING: killing 2993 states (over memory cap)
KLEE: WARNING: killing 2941 states (over memory cap)
KLEE: WARNING: killing 2907 states (over memory cap)
KLEE: WARNING: killing 2907 states (over memory cap)
KLEE: WARNING: killing 2826 states (over memory cap)
KLEE: WARNING: killing 2790 states (over memory cap)
KLEE: WARNING: killing 2770 states (over memory cap)
KLEE: WARNING: killing 2747 states (over memory cap)
KLEE: WARNING: killing 2712 states (over memory cap)
KLEE: WARNING: killing 2682 states (over memory cap)
KLEE: WARNING: killing 2653 states (over memory cap)
KLEE: WARNING: killing 2619 states (over memory cap)
KLEE: WARNING: killing 2586 states (over memory cap)
KLEE: WARNING: killing 2564 states (over memory cap)
KLEE: WARNING: killing 2536 states (over memory cap)
KLEE: WARNING: killing 2521 states (over memory cap)
KLEE: WARNING: killing 2509 states (over memory cap)
KLEE: WARNING: killing 2477 states (over memory cap)
KLEE: WARNING: killing 2451 states (over memory cap)
KLEE: WARNING: killing 2419 states (over memory cap)
KLEE: WARNING: killing 2400 states (over memory cap)
KLEE: WARNING: killing 2361 states (over memory cap)
KLEE: WARNING: killing 2324 states (over memory cap)
KLEE: WARNING: killing 2300 states (over memory cap)
KLEE: WARNING: killing 2261 states (over memory cap)
KLEE: WARNING: killing 2220 states (over memory cap)
KLEE: WARNING: killing 2196 states (over memory cap)
KLEE: WARNING: killing 2181 states (over memory cap)
KLEE: WARNING: killing 2164 states (over memory cap)
KLEE: WARNING: killing 2140 states (over memory cap)
KLEE: WARNING: killing 2130 states (over memory cap)
KLEE: WARNING: killing 2104 states (over memory cap)
KLEE: WARNING: killing 2105 states (over memory cap)
KLEE: WARNING: killing 2034 states (over memory cap)
KLEE: WARNING: killing 1996 states (over memory cap)
KLEE: WARNING: killing 1969 states (over memory cap)
KLEE: WARNING: killing 1943 states (over memory cap)
KLEE: WARNING: killing 1926 states (over memory cap)
KLEE: WARNING: killing 1906 states (over memory cap)
KLEE: WARNING: killing 1901 states (over memory cap)
KLEE: WARNING: killing 1857 states (over memory cap)
KLEE: WARNING: killing 1829 states (over memory cap)
KLEE: WARNING: killing 1822 states (over memory cap)
KLEE: WARNING: killing 1789 states (over memory cap)
KLEE: WARNING: killing 1777 states (over memory cap)
KLEE: WARNING: killing 1757 states (over memory cap)
KLEE: WARNING: killing 1739 states (over memory cap)
KLEE: WARNING: killing 1733 states (over memory cap)
KLEE: WARNING: killing 1723 states (over memory cap)
KLEE: WARNING: killing 1671 states (over memory cap)
KLEE: WARNING: killing 1657 states (over memory cap)
KLEE: WARNING: killing 1634 states (over memory cap)
KLEE: WARNING: killing 1618 states (over memory cap)
KLEE: WARNING: killing 1573 states (over memory cap)
KLEE: WARNING: killing 1548 states (over memory cap)
KLEE: WARNING: killing 1538 states (over memory cap)
KLEE: WARNING: killing 1518 states (over memory cap)
KLEE: WARNING: killing 1490 states (over memory cap)
KLEE: WARNING: killing 1466 states (over memory cap)
KLEE: WARNING: killing 1441 states (over memory cap)
KLEE: WARNING: killing 1431 states (over memory cap)
KLEE: WARNING: killing 1408 states (over memory cap)
KLEE: WARNING: killing 1386 states (over memory cap)
KLEE: WARNING: killing 1374 states (over memory cap)
KLEE: WARNING: killing 1346 states (over memory cap)
KLEE: WARNING: killing 1339 states (over memory cap)
KLEE: WARNING: killing 1327 states (over memory cap)
KLEE: WARNING: killing 1294 states (over memory cap)
KLEE: WARNING: killing 1255 states (over memory cap)
KLEE: WARNING: killing 1246 states (over memory cap)
KLEE: WARNING: killing 1243 states (over memory cap)
KLEE: WARNING: killing 1238 states (over memory cap)
KLEE: WARNING: killing 1214 states (over memory cap)
KLEE: WARNING: killing 1167 states (over memory cap)
KLEE: WARNING: killing 1136 states (over memory cap)
KLEE: WARNING: killing 1111 states (over memory cap)
KLEE: WARNING: killing 1095 states (over memory cap)
KLEE: WARNING: killing 1069 states (over memory cap)
KLEE: WARNING: killing 1054 states (over memory cap)
KLEE: WARNING: killing 1036 states (over memory cap)
KLEE: WARNING: killing 1038 states (over memory cap)
KLEE: WARNING: killing 1026 states (over memory cap)
KLEE: WARNING: killing 1010 states (over memory cap)
KLEE: WARNING: killing 996 states (over memory cap)
KLEE: WARNING: killing 978 states (over memory cap)
KLEE: WARNING: killing 973 states (over memory cap)
KLEE: WARNING: killing 969 states (over memory cap)
KLEE: WARNING: killing 910 states (over memory cap)
KLEE: WARNING: killing 884 states (over memory cap)
KLEE: WARNING: killing 879 states (over memory cap)
KLEE: WARNING: killing 851 states (over memory cap)
KLEE: WARNING: killing 859 states (over memory cap)
KLEE: WARNING: killing 811 states (over memory cap)
KLEE: WARNING: killing 776 states (over memory cap)
KLEE: WARNING: killing 768 states (over memory cap)
KLEE: WARNING: killing 747 states (over memory cap)
KLEE: WARNING: killing 739 states (over memory cap)
KLEE: WARNING: killing 702 states (over memory cap)
KLEE: WARNING: killing 678 states (over memory cap)
KLEE: WARNING: killing 663 states (over memory cap)
KLEE: WARNING: killing 655 states (over memory cap)
KLEE: WARNING: killing 619 states (over memory cap)
KLEE: WARNING: killing 591 states (over memory cap)
KLEE: WARNING: killing 561 states (over memory cap)
KLEE: WARNING: killing 533 states (over memory cap)
KLEE: WARNING: killing 511 states (over memory cap)
KLEE: WARNING: killing 503 states (over memory cap)
KLEE: WARNING: killing 484 states (over memory cap)
KLEE: WARNING: killing 479 states (over memory cap)
KLEE: WARNING: killing 459 states (over memory cap)
KLEE: WARNING: killing 444 states (over memory cap)
KLEE: WARNING: killing 419 states (over memory cap)
KLEE: WARNING: killing 408 states (over memory cap)
KLEE: WARNING: killing 385 states (over memory cap)
KLEE: WARNING: killing 366 states (over memory cap)
KLEE: WARNING: killing 357 states (over memory cap)
KLEE: WARNING: killing 338 states (over memory cap)
KLEE: WARNING: killing 330 states (over memory cap)
KLEE: WARNING: killing 333 states (over memory cap)
KLEE: WARNING: killing 338 states (over memory cap)
KLEE: WARNING: killing 337 states (over memory cap)
KLEE: WARNING: killing 329 states (over memory cap)
KLEE: WARNING: killing 323 states (over memory cap)
KLEE: WARNING: killing 321 states (over memory cap)
KLEE: WARNING: killing 323 states (over memory cap)
KLEE: WARNING: killing 317 states (over memory cap)
KLEE: WARNING: killing 316 states (over memory cap)
KLEE: WARNING: killing 319 states (over memory cap)
KLEE: WARNING: killing 314 states (over memory cap)
KLEE: WARNING: killing 315 states (over memory cap)
KLEE: WARNING: killing 314 states (over memory cap)
KLEE: WARNING: killing 307 states (over memory cap)
KLEE: WARNING: killing 311 states (over memory cap)
KLEE: WARNING: killing 306 states (over memory cap)
KLEE: WARNING: killing 302 states (over memory cap)
KLEE: WARNING: killing 302 states (over memory cap)
KLEE: WARNING: killing 300 states (over memory cap)
KLEE: WARNING: killing 302 states (over memory cap)
KLEE: WARNING: killing 304 states (over memory cap)
KLEE: WARNING: killing 305 states (over memory cap)
KLEE: WARNING: killing 308 states (over memory cap)
KLEE: WARNING: killing 310 states (over memory cap)
KLEE: WARNING: killing 307 states (over memory cap)
KLEE: WARNING: killing 300 states (over memory cap)
KLEE: WARNING: killing 293 states (over memory cap)
KLEE: WARNING: killing 296 states (over memory cap)
KLEE: WARNING: killing 294 states (over memory cap)
KLEE: WARNING: killing 293 states (over memory cap)
KLEE: WARNING: killing 296 states (over memory cap)
KLEE: WARNING: killing 299 states (over memory cap)
KLEE: WARNING: killing 296 states (over memory cap)
KLEE: WARNING: killing 295 states (over memory cap)
KLEE: WARNING: killing 289 states (over memory cap)
KLEE: WARNING: killing 288 states (over memory cap)
KLEE: WARNING: unable to write output test case, losing it
KLEE: WARNING: error opening file "/home/strahinja/coreutils-6.11/obj-llvm/src/klee-out-0/test000100.cvc".  KLEE may have run out of file descriptors: try to increase the maximum number of open file descriptors by using ulimit (Too many open files).
KLEE: WARNING: error opening file "/home/strahinja/coreutils-6.11/obj-llvm/src/klee-out-0/test000100.cov".  KLEE may have run out of file descriptors: try to increase the maximum number of open file descriptors by using ulimit (Too many open files).
