KLEE: WARNING ONCE: function "vasnprintf" has inline asm
KLEE: WARNING: undefined reference to function: __ctype_get_mb_cur_max
KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 94168725356320) at /home/strahinja/repo/klee/runtime/POSIX/fd.c:1007 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "calloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "realloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling close_stdout with extra arguments.
KLEE: WARNING ONCE: calling external: __ctype_get_mb_cur_max() at ../../lib/quotearg.c:212 36
KLEE: WARNING ONCE: calling external: vprintf(94168724998592, 94168726228704) at libc/stdio/fprintf.c:35 14
KLEE: WARNING ONCE: calling external: printf(94168725063136, 94168724979904) at ../../src/logname.c:44 7
KLEE: WARNING: killing 7409 states (over memory cap)
KLEE: WARNING: killing 7366 states (over memory cap)
KLEE: WARNING: killing 7319 states (over memory cap)
KLEE: WARNING: killing 7273 states (over memory cap)
KLEE: WARNING: killing 7232 states (over memory cap)
KLEE: WARNING: killing 7197 states (over memory cap)
KLEE: WARNING: killing 7152 states (over memory cap)
KLEE: WARNING: killing 7124 states (over memory cap)
KLEE: WARNING: killing 7081 states (over memory cap)
KLEE: WARNING: killing 7051 states (over memory cap)
KLEE: WARNING: killing 7022 states (over memory cap)
KLEE: WARNING: killing 6987 states (over memory cap)
KLEE: WARNING: killing 6960 states (over memory cap)
KLEE: WARNING: killing 6938 states (over memory cap)
KLEE: WARNING: killing 6922 states (over memory cap)
KLEE: WARNING: killing 6891 states (over memory cap)
KLEE: WARNING: killing 6873 states (over memory cap)
KLEE: WARNING: killing 6849 states (over memory cap)
KLEE: WARNING: killing 6836 states (over memory cap)
KLEE: WARNING: killing 6824 states (over memory cap)
KLEE: WARNING: killing 6812 states (over memory cap)
KLEE: WARNING: killing 6808 states (over memory cap)
KLEE: WARNING: killing 6796 states (over memory cap)
KLEE: WARNING: killing 6781 states (over memory cap)
KLEE: WARNING: killing 6770 states (over memory cap)
KLEE: WARNING: killing 6755 states (over memory cap)
KLEE: WARNING: killing 6748 states (over memory cap)
KLEE: WARNING: killing 6738 states (over memory cap)
KLEE: WARNING: killing 6736 states (over memory cap)
KLEE: WARNING: killing 6731 states (over memory cap)
KLEE: WARNING: killing 6726 states (over memory cap)
KLEE: WARNING: killing 6727 states (over memory cap)
KLEE: WARNING: killing 6716 states (over memory cap)
KLEE: WARNING: killing 6703 states (over memory cap)
KLEE: WARNING: killing 6691 states (over memory cap)
KLEE: WARNING: killing 6675 states (over memory cap)
KLEE: WARNING: killing 6674 states (over memory cap)
KLEE: WARNING: killing 6664 states (over memory cap)
KLEE: WARNING: killing 6652 states (over memory cap)
KLEE: WARNING: killing 6648 states (over memory cap)
KLEE: WARNING: killing 6644 states (over memory cap)
KLEE: WARNING: killing 6629 states (over memory cap)
KLEE: WARNING: killing 6619 states (over memory cap)
KLEE: WARNING: killing 6614 states (over memory cap)
KLEE: WARNING: killing 6600 states (over memory cap)
KLEE: WARNING: killing 6589 states (over memory cap)
KLEE: WARNING: killing 6586 states (over memory cap)
KLEE: WARNING: killing 6582 states (over memory cap)
KLEE: WARNING: killing 6574 states (over memory cap)
KLEE: WARNING: killing 6564 states (over memory cap)
KLEE: WARNING: killing 6559 states (over memory cap)
KLEE: WARNING: killing 6553 states (over memory cap)
KLEE: WARNING: killing 6542 states (over memory cap)
KLEE: WARNING: killing 6541 states (over memory cap)
KLEE: WARNING: killing 6536 states (over memory cap)
KLEE: WARNING: killing 6532 states (over memory cap)
KLEE: WARNING: killing 6521 states (over memory cap)
KLEE: WARNING: killing 6522 states (over memory cap)
KLEE: WARNING: killing 6519 states (over memory cap)
KLEE: WARNING: killing 6521 states (over memory cap)
KLEE: WARNING: killing 6505 states (over memory cap)
KLEE: WARNING: killing 6501 states (over memory cap)
KLEE: WARNING: killing 6500 states (over memory cap)
KLEE: WARNING: killing 6497 states (over memory cap)
KLEE: WARNING: killing 6493 states (over memory cap)
KLEE: WARNING: killing 6488 states (over memory cap)
KLEE: WARNING: killing 6484 states (over memory cap)
KLEE: WARNING: killing 6475 states (over memory cap)
KLEE: WARNING: killing 6458 states (over memory cap)
KLEE: WARNING: killing 6457 states (over memory cap)
KLEE: WARNING: killing 6459 states (over memory cap)
KLEE: WARNING: killing 6454 states (over memory cap)
KLEE: WARNING: killing 6452 states (over memory cap)
KLEE: WARNING: killing 6451 states (over memory cap)
KLEE: WARNING: killing 6459 states (over memory cap)
KLEE: WARNING: killing 6458 states (over memory cap)
KLEE: WARNING: killing 6457 states (over memory cap)
KLEE: WARNING: killing 6445 states (over memory cap)
KLEE: WARNING: killing 6450 states (over memory cap)
KLEE: WARNING: killing 6447 states (over memory cap)
KLEE: WARNING: killing 6447 states (over memory cap)
KLEE: WARNING: killing 6443 states (over memory cap)
KLEE: WARNING: killing 6438 states (over memory cap)
KLEE: WARNING: killing 6437 states (over memory cap)
KLEE: WARNING: killing 6433 states (over memory cap)
KLEE: WARNING: killing 6430 states (over memory cap)
KLEE: WARNING: killing 6432 states (over memory cap)
KLEE: WARNING: killing 6439 states (over memory cap)
KLEE: WARNING: killing 6440 states (over memory cap)
KLEE: WARNING: killing 6442 states (over memory cap)
KLEE: WARNING: killing 6433 states (over memory cap)
KLEE: WARNING: killing 6427 states (over memory cap)
KLEE: WARNING: killing 6423 states (over memory cap)
KLEE: WARNING: killing 6429 states (over memory cap)
KLEE: WARNING: killing 6422 states (over memory cap)
KLEE: WARNING: killing 6427 states (over memory cap)
KLEE: WARNING: killing 6426 states (over memory cap)
KLEE: WARNING: killing 6415 states (over memory cap)
KLEE: WARNING: killing 6412 states (over memory cap)
KLEE: WARNING: killing 6403 states (over memory cap)
KLEE: WARNING: killing 6412 states (over memory cap)
KLEE: WARNING: killing 6413 states (over memory cap)
KLEE: WARNING: killing 6416 states (over memory cap)
KLEE: WARNING: killing 6410 states (over memory cap)
KLEE: WARNING: killing 6414 states (over memory cap)
